comment,label,source
"okay lang naman, hindi ko masabing maganda pero hindi rin pangit",Neutral,synthetic_v3
"sakto lang, walang sobra walang kulang",Neutral,synthetic_v3
"Ayos lang naman, ganito rin sa ibang lugar.",Neutral,synthetic_v3
"Medyo ok, pero wala akong masyadong nagustuhan.",Neutral,synthetic_v3
"Hindi ko masasabing sulit, hindi rin naman sayang.",Neutral,synthetic_v3
"Pwede na, pero hindi ko ie-expect na maganda.",Neutral,synthetic_v3
"okey lng, wla nmn masyadong maganda",Neutral,synthetic_v3
Katamtaman lang ang karanasan namin.,Neutral,synthetic_v3
"Normal lang naman, walang kakaiba.",Neutral,synthetic_v3
Hindi masama pero hindi rin memorable.,Neutral,synthetic_v3
"Sakto lang para sa presyo, wala akong reklamo.",Neutral,synthetic_v3
"Pare-pareho lang naman sila, walang tanging maganda.",Neutral,synthetic_v3
"Ok lang, medyo boring pero ayos na rin.",Neutral,synthetic_v3
"Hindi ko alam kung irerekomenda ko, okay lang kasi.",Neutral,synthetic_v3
"Walang masyadong nangyari, tahimik lang.",Neutral,synthetic_v3
Sapat na para sa isang beses na punta.,Neutral,synthetic_v3
Medyo maganda pero medyo kulang din.,Neutral,synthetic_v3
"Hindi naman nakakadismaya, pero hindi rin nakaka-wow.",Neutral,synthetic_v3
"Ganun lang, wala akong maidagdag.",Neutral,synthetic_v3
"okay lang po, sakto lang sa expectations ko",Neutral,synthetic_v3
"Hindi mataas hindi mababa, gitna lang.",Neutral,synthetic_v3
"Karaniwan lang, wala akong masabing espesyal.",Neutral,synthetic_v3
Pwede na para sa mga dumadaan lang.,Neutral,synthetic_v3
Hindi ko masabing masaya pero hindi rin ako nainis.,Neutral,synthetic_v3
"Katamtaman lang, hindi ko na uulitin pero ok lang.",Neutral,synthetic_v3
"Ayos lang naman ang lugar, tipikal lang.",Neutral,synthetic_v3
"Sakto lang ang serbisyo, walang tanging maganda o pangit.",Neutral,synthetic_v3
"Medyo ordinaryo, pero walang problema.",Neutral,synthetic_v3
"Hindi ko na masyadong naalala, ganun lang kasi.",Neutral,synthetic_v3
"Nasa gitna lang, hindi ko masabing okay o hindi.",Neutral,synthetic_v3
"wala akong masabi, ok lng nmn",Neutral,synthetic_v3
"Parang ordinary na parke lang, ayos naman.",Neutral,synthetic_v3
Hindi ko masabing malinis pero hindi rin madumi.,Neutral,synthetic_v3
"Sakto lang sa oras namin, wala nang iba.",Neutral,synthetic_v3
"Medyo tahimik, wala masyadong tao, ayos lang.",Neutral,synthetic_v3
Pareho lang sa ibang simbahan na napuntahan namin.,Neutral,synthetic_v3
Okay naman pero wala akong hinahanap-hanap.,Neutral,synthetic_v3
"Ganito lang talaga siguro, tanggap ko na.",Neutral,synthetic_v3
"Hindi ko masabing bumalik ako o hindi, ok lang kasi.",Neutral,synthetic_v3
"Katamtaman ang lahat, walang sumobra.",Neutral,synthetic_v3
"Medyo maayos, medyo kulang, patas lang.",Neutral,synthetic_v3
Wala akong reklamo pero wala rin akong papuri.,Neutral,synthetic_v3
Ok lang para libre lang naman.,Neutral,synthetic_v3
Sakto lang ang laki at ang dami ng tao.,Neutral,synthetic_v3
"Hindi ko masasabing maganda, basta ayos lang.",Neutral,synthetic_v3
"Karaniwang karanasan, wala nang iba.",Neutral,synthetic_v3
"Puro pareho lang, walang bago sa akin.",Neutral,synthetic_v3
"Ayos lang, pero mas maganda pa rin yung dati.",Neutral,synthetic_v3
Medyo ok naman kaso wala masyadong makita.,Neutral,synthetic_v3
"Hindi ko alam kung ano isasagot, ok lang kasi talaga.",Neutral,synthetic_v3
"Sakto lang naman, hindi ko naman pinagsisihan.",Neutral,synthetic_v3
Neutral lang ang pakiramdam ko sa lugar.,Neutral,synthetic_v3
"Walang masyadong kaganapan, tahimik lang.",Neutral,synthetic_v3
Medyo maganda pero hindi ganoon kaganda.,Neutral,synthetic_v3
"Pwede na, hindi ko lang irerekomenda agad.",Neutral,synthetic_v3
"Ganun lang naman talaga, wala akong inaasahan.",Neutral,synthetic_v3
Hindi ko masabing sulit pero pumunta na rin kami.,Neutral,synthetic_v3
"Ok lang naman ang kalinisan, hindi perpekto.",Neutral,synthetic_v3
"Katanggap-tanggap lang, wala nang iba.",Neutral,synthetic_v3
"Hindi maganda hindi pangit, gitna lang talaga.",Neutral,synthetic_v3
